Bot_ID,Tipo,direccion,symbol,Precio_Entrada,Precio_Salida,PnL,Hora_Entrada,Hora_Cierre,Trade_Id
BNB_Grid_0.3,grid,long,bnbusdt,589.66,590.02437002,0.0036,2026-06-22 21:37:00,2026-06-22 21:39:18,BNB_Grid_0.3_166_1782178620
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.44,0.0045,2026-06-22 21:36:57,2026-06-22 21:41:18,BNB_Grid_0.3_165_1782178617
BNB_Grid_0.3,grid,long,bnbusdt,588.34,588.71,0.0037,2026-06-22 21:50:48,2026-06-22 21:51:27,BNB_Grid_0.3_172_1782179448
BNB_Grid_0.3,grid,long,bnbusdt,588.67,589.00729948,0.0034,2026-06-22 21:49:24,2026-06-22 21:52:39,BNB_Grid_0.3_171_1782179364
BNB_Grid_0.3,grid,long,bnbusdt,589.0,589.45,0.0045,2026-06-22 21:48:21,2026-06-22 21:53:12,BNB_Grid_0.3_170_1782179301
BNB_Grid_0.3,grid,long,bnbusdt,589.33,589.66806885,0.0034,2026-06-22 21:46:24,2026-06-22 21:53:48,BNB_Grid_0.3_169_1782179184
BNB_Grid_0.3,grid,long,bnbusdt,589.66,590.02658811,0.0037,2026-06-22 21:44:54,2026-06-22 21:54:45,BNB_Grid_0.3_168_1782179094
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.39250643,0.0040,2026-06-22 21:44:30,2026-06-22 21:57:27,BNB_Grid_0.3_167_1782179070
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.68482923,0.0036,2026-06-22 21:36:12,2026-06-22 21:58:06,BNB_Grid_0.3_164_1782178572
BNB_Grid_0.3,grid,long,bnbusdt,590.65,591.08916532,0.0044,2026-06-22 21:35:09,2026-06-22 22:04:45,BNB_Grid_0.3_163_1782178509
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.66608426,0.0035,2026-06-22 22:11:03,2026-06-22 22:13:39,BNB_Grid_0.3_174_1782180663
BNB_Grid_0.3,grid,long,bnbusdt,590.65,591.04763259,0.0040,2026-06-22 22:09:27,2026-06-22 22:15:12,BNB_Grid_0.3_173_1782180567
BNB_Grid_0.3,grid,long,bnbusdt,590.98,591.34,0.0036,2026-06-22 21:34:54,2026-06-22 22:15:24,BNB_Grid_0.3_162_1782178494
BNB_Grid_0.3,grid,long,bnbusdt,590.98,591.32286667,0.0034,2026-06-22 22:20:06,2026-06-22 22:20:36,BNB_Grid_0.3_175_1782181206
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.66,0.0034,2026-06-22 21:33:39,2026-06-22 22:21:21,BNB_Grid_0.3_161_1782178419
BNB_Grid_0.3,grid,long,bnbusdt,591.65,592.05,0.0040,2026-06-22 21:25:00,2026-06-22 22:27:33,BNB_Grid_0.3_160_1782177900
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.73,0.0041,2026-06-22 22:36:06,2026-06-22 22:41:15,BNB_Grid_0.3_177_1782182166
BNB_Grid_0.3,grid,long,bnbusdt,591.65,591.98901512,0.0034,2026-06-22 22:28:33,2026-06-22 22:49:36,BNB_Grid_0.3_176_1782181713
BNB_Grid_0.3,grid,long,bnbusdt,591.98,592.33685893,0.0036,2026-06-22 21:02:48,2026-06-22 22:50:42,BNB_Grid_0.3_156_1782176568
BNB_Grid_0.3,grid,long,bnbusdt,592.31,592.70334037,0.0039,2026-06-22 15:09:24,2026-06-22 22:51:48,BNB_Grid_0.3_98_1782155364
BNB_Grid_0.3,grid,long,bnbusdt,592.64,593.08,0.0044,2026-06-22 15:09:24,2026-06-22 22:57:33,BNB_Grid_0.3_99_1782155364
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.33724292,0.0035,2026-06-22 23:09:54,2026-06-22 23:11:39,BNB_Grid_0.3_186_1782184194
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.78098418,0.0046,2026-06-22 23:09:30,2026-06-22 23:13:06,BNB_Grid_0.3_185_1782184170
BNB_Grid_0.3,grid,long,bnbusdt,590.65,590.99130262,0.0034,2026-06-22 23:07:48,2026-06-22 23:13:42,BNB_Grid_0.3_184_1782184068
BNB_Grid_0.3,grid,long,bnbusdt,590.98,591.35,0.0037,2026-06-22 23:06:12,2026-06-22 23:15:12,BNB_Grid_0.3_183_1782183972
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.6633208,0.0034,2026-06-22 23:04:36,2026-06-22 23:18:12,BNB_Grid_0.3_182_1782183876
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.66039615,0.0034,2026-06-22 23:20:09,2026-06-22 23:26:30,BNB_Grid_0.3_187_1782184809
BNB_Grid_0.3,grid,long,bnbusdt,591.65,592.08796493,0.0044,2026-06-22 23:03:21,2026-06-22 23:28:39,BNB_Grid_0.3_181_1782183801
BNB_Grid_0.3,grid,long,bnbusdt,591.65,592.02839269,0.0038,2026-06-22 23:31:06,2026-06-22 23:32:48,BNB_Grid_0.3_188_1782185466
BNB_Grid_0.3,grid,long,bnbusdt,591.98,592.31251064,0.0033,2026-06-22 23:02:12,2026-06-22 23:33:06,BNB_Grid_0.3_180_1782183732
BNB_Grid_0.3,grid,long,bnbusdt,592.31,592.73462829,0.0042,2026-06-22 23:01:45,2026-06-22 23:35:51,BNB_Grid_0.3_179_1782183705
BNB_Grid_0.3,grid,long,bnbusdt,591.98,592.32832366,0.0035,2026-06-22 23:41:00,2026-06-22 23:42:42,BNB_Grid_0.3_190_1782186060
